id,FalseSent,ref1,ref2,ref3
1801,زيت المحرك جيد على السلطات.,زيت المحرك سام وليس للاستهلاك.,زيت المحرك ليس على رأس السلطة.,زيت المحرك غير صالح للأكل.
1802,كان الكرسي حار جدا,الكراسي لا تؤكل,الكرسي ليس له أي طعم,الكرسي ليس شيئًا صالحًا للأكل
1803,كان السيف في درج المطبخ.,السيف كبير جدًا بالنسبة لدرج المطبخ.,أدراج المطبخ ليست كبيرة بما يكفي لسيف,السيوف لا تناسب أدراج المطبخ.
1804,عندما تسمع نكتة سوف تبكي,عادة النكات تجعل الناس يضحكون,عندما تسمع أخبار حزينة تبكي,النكات تجعلك تبتسم.
1805,ممسحة تنظف الجو.,لا تأخذ المماسح أي شيء من الهواء.,لا يمكن تنظيف الجو بواسطة الممسحة.,الممسحة غير قادرة على تنظيف الجو.
1806,لعبت الموسيقى على النبات.,لا يمكن العزف على النباتات لأنها ليست آلات موسيقية.,النباتات ليست آلات موسيقية ولا يمكنك تشغيل الموسيقى بواحدة.,لا يستخدم النبات لصنع الموسيقى.
1807,يبيع الناس الشموع في أعياد الميلاد.,يشتري الناس الشموع في أعياد الميلاد بدلاً من بيعها.,يحصل الناس على هدايا في أعياد ميلادهم.,الناس لا يبيعون أي شيء في أعياد الميلاد.
1808,سقطت أليس في حفرة الأرنب.,فعل السقوط لا يمكن إلا أن يكون أسفل.,ليس من الممكن أن يسقط أحد.,يوجد ثقب دائمًا ، لذا لا يمكنها السقوط.
1809,يمكنك بناء سقيفة جديدة على رأسك.,الرأس ليس كبيرًا بما يكفي لاستيعاب سقيفة.,سوف تموت من الوزن إذا فعلت.,لا يمكننا بناء سقيفة في رؤوسنا لأنها جزء من أجسامنا.
1810,يمكنك الحصول على درجة الدكتوراه في روضة الأطفال,روضة الأطفال للأطفال الصغار جدًا,لا يمكنك الحصول على دكتوراه في رياض الأطفال,الدكتوراه هي درجات جامعية.
1811,سكبت لنفسها كأس بولونيا,بولونيا مادة صلبة ، لا يمكن سكبها مثل الماء,بولونيا ليست سائلة,بولونيا ليست سائلة
1812,مطلوب سيارة للسفر في الفضاء,يمكن للصاروخ أن ينتقل بسرعة كافية للهروب من جاذبية الأرض,السيارات تسير على الطرق.,السيارات لا تذهب إلى الفضاء.
1813,إذا هطل المطر ، يحصل الجميع على الحليب,المطر لا يجلب الحليب بل يجلب الماء,الحليب لا يسقط من السماء عندما تمطر.,اللبن يأتي من البقر لا السماء
1814,يمكن للصوت العالي أن يمنح آذاننا قوى خارقة.,القوى الخارقة ليست حقيقية.,يمكن أن يسبب الصوت العالي ضررًا دائمًا.,القوى الخارقة ليست حقيقية.
1815,لقد طار أشياء مختلفة في دفتر ملاحظاته.,لا يمكنك إخراج الأشياء في دفتر ملاحظات.,دفتر ملاحظاته شيء لا يمكن أن يطير.,لا يمكنك أن تطير دفتر ملاحظات
1816,إنه مواطن قانوني بعد دخول الولايات المتحدة بشكل غير قانوني.,لا يمكنك أن تكون مواطنًا قانونيًا لبلد ما إذا دخلت هذا البلد بشكل غير قانوني في البداية.,إذا دخلت الولايات المتحدة بشكل غير قانوني ، فأنت لست مواطنًا قانونيًا,دخول دولة بطريقة غير شرعية لا يمنح الجنسية.
1817,في بعض الأحيان يؤدي الحصول على وظيفة إلى القيء,لا يوجد ارتباط منطقي بين الحصول على وظيفة والتقيؤ,يحدث القيء بسبب المرض.,لا يحدث القيء بسبب الحصول على وظيفة.
1818,مضرب بيسبول يضرب قفاز بيسبول.,القفاز هو الإمساك بالكرة بعد إصابتها.,مضرب بيسبول يضرب كرة البيسبول.,يُستخدم قفاز البيسبول للقبض على كرات البيسبول.
1819,طلبت جهاز ستيريو في المطعم.,المطاعم لا تقدم الإلكترونيات.,أنت تطلب الطعام في مطعم ، وليس أجهزة الاستريو,هناك طعام يقدم في المطاعم.
1820,النرد على شكل كرات.,النرد على شكل مكعبات.,النرد مكعبات.,النرد على شكل مكعب
1821,من أجل القيام بشيء صحيح ، يجب عليك استشارة رغيف خبز.,رغيف الخبز لا يكمل المهمة.,أرغفة الخبز لا تتحدث وليس لديها طريقة للتعبير عن الطريقة الصحيحة لفعل شيء ما.,تستخدمين رغيف خبز لعمل السندويشات
1822,فتحت كلتا عينيها لتذهب إلى النوم.,تفتح عينيك لتستيقظ من النوم.,يجب أن تنام وعينيك مغلقة.,لا يمكنك النوم وعيناك مفتوحتان.
1823,أكل العصير بالشوكة,لا يمكن تناول العصير بالشوكة,العصير سائل.,لا يمكنك تناول السوائل بالشوكة.
1824,ركبت العناكب دراجاتها إلى النهر.,العناكب صغيرة جدًا لركوب الدراجات.,الدراجات أكبر من أن تركبها العناكب.,لا تستطيع العناكب ركوب الدراجات.
1825,ذهب إلى مطعم للعب التنس.,لا يوجد في المطعم ملعب تنس.,أنت لا تلعب التنس في مطعم.,التنس ليس شيئًا شائعًا في المطعم.
1826,أضع جيبي في مفاتيحي,الجيب لا يتسع للمفاتيح,المفاتيح غير قادرة على حمل الجيب.,المفاتيح ليست كبيرة بما يكفي لوجود جيوب
1827,يبلغ متوسط ​​وزن المولود 20 بوصة.,لم يتم تحديد الوزن بالبوصة.,البوصة هي قياس الشكل وليس الوزن.,لا يمكن استخدام البوصات لحساب متوسط ​​وزن المولود الجديد.
1828,توقفت لتناول الجعة في المقهى المحلي,لا تبيع المقاهي البيرة,لا تبيع المقاهي البيرة.,عادة لا تبيع المقاهي البيرة.
1829,أنا بحاجة لشراء كواكب,لا يستطيع الناس شراء كوكب,لا يمكن بيع وشراء الكواكب.,لست بحاجة لشراء نباتات
1830,المخدرات جيدة للأطفال,تعاطي المخدرات أمر خطير للغاية,المخدرات ضارة للجميع.,الأدوية ضارة بالأطفال.
1831,الكسلان يمكن أن يتحرك بسرعة.,الكسلان معروف بالبطء.,الكسلان بطيئة ولا يمكنها التحرك بسرعة.,الكسلان يتحرك ببطء.
1832,سقط على الدرج.,يحدث السقوط لأن الجاذبية تسحب الأشخاص / الأشياء لأسفل.,يسقط المرء على الدرج بسبب الجاذبية.,الجاذبية لا تسمح بالسقوط لأعلى.
1833,أكل توم الرمل على الإفطار.,لا أحد يستطيع أن يأكل الرمل.,الرمل غير صالح للأكل,الرمل ليس طعاما
1834,عاش الرجل في قاع البحر.,لا يستطيع الإنسان أن يعيش تحت البحر.,لا يمكن للناس العيش في جسم مائي حيث لا يوجد أكسجين قابل للتنفس,قاع البحر مكان لا يستطيع الإنسان أن يعيش فيه.
1835,الديمقراطية وصفة صغيرة وفعالة للدجاج,لا يمكن أن تكون الديمقراطية غذاء.,الديمقراطية ليست وصفة,الديمقراطية هي أيديولوجية سياسية.
1836,الإنسان أطول من الزرافة,لأن الزرافة أطول بكثير من الإنسان,الزرافات هي أطول الحيوانات البرية,يبلغ طول الزرافة من 16 إلى 20 قدمًا.
1837,المرطبات جيدة للعيون,المرطبات تهيج العينين,تصنع المرطبات لترطيب بشرتك ، لكنها يمكن أن تحترق إذا دخلت في عينيك.,يمكن أن تسبب المرطبات العمى في العين
1838,يذهب إلى ميدان الرماية لشراء أدوات كهربائية.,لا تبيع نطاقات الرماية أدوات كهربائية أو عناصر أخرى غير متعلقة بالأسلحة النارية.,ميدان الرماية لا يبيع أدوات كهربائية,لا يمكن شراء أدوات كهربائية من متجر أسلحة
1839,فاتورة 100 دولار تساوي فاتورة 1 دولار.,على الرغم من أنهما قطعتان من نفس الحجم من الورق ، إلا أن فاتورة 100 دولار لا تزال تتمتع بقيمة نقدية أكبر.,فاتورة الدولار الواحد تساوي أكثر من فاتورة بقيمة 100 دولار.,الأوراق النقدية فئة 1 دولار هي نفس فاتورة فئة 100 دولار.
1840,فتح علبة وبدأ في القراءة,العلب مادة غذائية ولا يُقصد بها القراءة,لا توجد كتابة داخل العلبة.,لا يوجد شيء للقراءة في علبة مفتوحة.
1841,قادت القطة إلى المتجر,القطط حيوانات والسيارات مركبات,لا يمكنك قيادة قطة.,لا يمكن قيادة القطط.
1842,القرش في غرفة النوم.,لا تستطيع أسماك القرش العيش خارج الماء.,لا تستطيع أسماك القرش البقاء على قيد الحياة في غرفة النوم.,لا تظهر أسماك القرش على الأرض أو غرف النوم.
1843,يضع سمكته في السيارة,لن يصلح سمكة قرش السيارة,السيارة مكان لا يضع فيه سمكة القرش.,لن يصلح سمكة القرش السيارة.
1844,التفاحة بها زغب.,لا ينمو زغب التفاحة مثل الخوخ.,التفاحة لها قشرة ناعمة.,التفاحة فاكهة.
1845,الواقي من الشمس يحميني من المطر,الواقي من الشمس يحمي الإشعاع فقط,المظلات تحمي من المطر.,واقية من الشمس للشمس وليس المطر.
1846,يستخدم الناس الخفافيش للعب كرة السلة.,لا تُلعب كرة السلة مع الخفافيش ، بل تُلعب بكرات السلة فقط.,تُلعب كرة السلة باليد فقط.,لعبة كرة السلة لا تستخدم الخفافيش.
1847,يأكل من أنفه الطعام,الأنف للتنفس,الأنوف قادرة على شم الروائح.,الأنف ليس شيئًا تأكل به الطعام.
1848,يستخدم الناس الأوساخ للاستحمام.,سيؤدي استخدام الأوساخ في الاستحمام إلى القضاء على الغرض من الاستحمام.,الأوساخ تجعل المزيد من القذرة,تستخدم الاستحمام للتخلص من الأوساخ.
1849,تعاني جينين من اضطراب متكرر في السيارة - جسدها في حالة من الفوضى.,السيارات ليست أعضاء.,مشكلة السيارة لا تعني مشكلة جسدية.,السيارة في شيء لا ينزعج في جسم جانين.
1850,طول ساعة الأرض 60 ثانية,في الواقع ، تبلغ مدة دقيقة الأرض 60 ثانية وليست ساعة,60 ثانية هي دقيقة.,يوجد 60 دقيقة في الساعة
1851,لقد استخدمت الشريط لبناء الطاولة.,الشريط ليس قويًا بما يكفي لاستيعاب منضدة.,الشريط ليس مادة بناء جيدة.,الشريط ناعم جدًا بحيث لا يمكنه بناء طاولة.
1852,انها متماسكة نقانق.,لا يمكنك حياكة الطعام.,لا يمكن صنع الهوت دوج من خلال الحياكة.,لا يمكنك حياكة مادة غذائية
1853,البحيرة مليئة بعصير البرتقال.,لا أحد لديه ما يعادل بحيرة من عصير البرتقال.,يُباع عصير البرتقال في محل البقالة للأشخاص.,عصير البرتقال مشروب مصنع.
1854,قرع المصباح.,المصباح لا يصدر صوتًا.,المصابيح لا ترن ، إنها تضيء.,المصابيح لا ترن عند تشغيلها أو إيقاف تشغيلها.
1855,وضع المجفف في الغسالة,لا يمكن أن يتسع المجفف في الغسالة,المجفف مخصص فقط لتجفيف الملابس,هذا من شأنه أن يدمر كلا العنصرين
1856,القط يحب النوم في حلبة الملاكمة.,القطط لا تربح.,حلقة الملاكمة لا تسمح للقطط,لا يسمح للقطط بحلقات الملاكمة. حلقات الملاكمة ليست أماكن للنوم
1857,يجب أن يكون الشخص الذي لا يريد فعل أي شيء في المشروع هو المسؤول عنه.,لا يمكنك قيادة مشروع إذا لم تفعل شيئًا للمساهمة فيه.,الشخص المسؤول عنها يجب أن يقود المشروع.,الشخص المسؤول يحتاج إلى فعل الكثير.
1858,يمكنك أن تجد الدجاج المجمد في الخزانة,لا يمكن لخزانة تجميد الدجاج,لا يتم حفظ الطعام في الخزانة,الدجاج المجمد ينتمي إلى الفريزر
1859,يذهب إلى المكتبة لمشاهدة الإباحية.,يذهب الناس إلى المكتبة لقراءة الكتب وفحصها ومشاهدة المواد الإباحية على انفراد.,يحظر مشاهدة المواد الإباحية في المكتبة.,الإباحية ليست شيئًا تشاهده في الأماكن العامة
1860,يمكنك شراء الحيوانات من أمازون,أمازون سوق للتجارة الإلكترونية,الحيوانات لا تباع على موقع أمازون.,يمكنك شراء الحيوانات المحنطة على موقع أمازون.
1861,دفع الفاتورة ببطاقة عمل,بطاقة العمل ليست بطاقة مصرفية,لا يمكن استخدام بطاقة العمل لدفع الفاتورة.,لا تستخدم بطاقة العمل في دفع الفاتورة.
1862,أكل على مقاعد البدلاء.,المقاعد ليست صالحة للأكل.,المقعد ليس طعامًا,لا يمكنك أكل مقعد.
1863,لمس القمر,من المستحيل لمس القمر,القمر بعيد جدًا بحيث لا يمكن لمسه.,القمر ليس ضمن مسافة يمكن الوصول إليها.
1864,لقد ضربت مضرب بيسبول معه,من غير المحتمل أن يضرب شخص ما مضرب بيسبول بإنسان آخر,لم يكن هذا ما حدث ما لم تلتقطه وتضربه بمضرب.,أنت تضرب شخصًا بمضرب بيسبول ، ولا تضرب الخفاش بشخص.
1865,اشترى فيلًا واحتفظ به في جيبه,الفيل كبير جدًا بحيث لا يمكن وضعه في الجيب,لا يمكن أن يتسع الفيل داخل الجيب.,الفيل حيوان كبير
1866,زرع بذور الطماطم في البساط الفارسي,لن تنمو بذور الطماطم في البساط,أنت لا تزرع البذور في البساط.,أنت تزرع الأشياء في التراب.
1867,لقد زرعت الحشائش طوال اليوم.,تعتبر الحشائش مصدر إزعاج.,الحشائش هي نفايات النباتات ولن يزرعها أحد,تفسد الحشائش نمو النباتات فلا يمكن زراعتها.
1868,ابتلعت متجر لاجهزة الكمبيوتر,لا يمكن ابتلاع متجر لاجهزة الكمبيوتر,مخازن الأجهزة كبيرة جدًا بحيث لا يمكن تناولها,لا يمكننا ابتلاع المتجر لأنه متجر.
1869,الريشة هي مسلسلات مضحكة,الريشة ليس برنامج تلفزيوني,تنس الريشة رياضة وليست مسلسلات تلفزيونية.,الريشة هي رياضة
1870,يأكل اللحوم النيئة كل يوم.,لا أحد يأكل اللحوم النيئة ، فهي ليست جيدة للصحة.,اللحوم النيئة يمكن أن تصيب البشر بالمرض.,اللحوم النيئة لا تستطيع أن تأكل من قبله كل يوم.
1871,يمكن للناس بناء برج من الماء.,الماء لا يتكدس.,لا يمكنك البناء بالماء فهو غير قابل للتكديس,الماء مادة سائلة لا يمكن استخدامها لبناء برج.
1872,من الأفضل أن تركض إذا أظهرت لك سلحفاة قرونها.,السلاحف ليس لها قرون.,السلاحف ليس لها قرون ، لها قذائف.,ليس للسلحفاة قرون
1873,لديهم أسلحة نووية لإيذاء أنفسهم.,أنت لا تصنع أسلحة نووية لإيذاء نفسك أو لإيذاء من تريد حمايتهم.,لا تستخدم الأسلحة النووية مع من يصنعونها.,تتسبب الأسلحة النووية في دمار شامل.
1874,صعدت التفاحة إلى الشجرة.,التفاح لا يتحرك من تلقاء نفسه.,لا تستطيع التفاحة أن تتسلق أو تتحرك بإرادتها.,التفاح ليس له زوائد
1875,وضعت التلفزيون مع لوحات.,لا تضع الأواني على التلفاز.,لا يمكن ضبط التلفزيون بألواح.,التليفزيون ليس منضدة لتقديم الطعام عليها.
1876,لقد تعثر فوق فرس النهر على الرصيف.,فرس النهر أكبر من أن يتعثر.,لا تتدلى أفراس النهر عادة على الأرصفة,لا تتجول أفراس النهر بحرية في المدن.
1877,أكلت الفطور لأنني تأخرت عن العمل.,يستغرق تناول الإفطار وقتا.,يتطلب تناول وجبة الإفطار وقتًا لا يتوفر عند تأخر الشخص عن العمل,إذا تناولت وجبة الإفطار ، فقد تأخرت على العمل
1878,"ذهب إلى محطة الوقود لشراء ""الدواء"" الموصوف له.",محطات الوقود غير مرخصة لبيع الماريجوانا الطبية.,لا تذهب إلى محطة وقود لشراء الأدوية.,لا يتم بيع الأدوية في محطات الوقود.
1879,أشعل النار في سرير قبل أن يذهب إلى الكنيسة.,لا أحد يريد إشعال النار في الأسرة,هذا هو الحرق المتعمد,إذا أشعل سريرًا فقد احترق
1880,وقع الطائر العقد على الخط المنقط.,الطائر لا يقرأ أو يكتب العقود على الخط المنقط.,الطيور غير قادرة على الكتابة.,الطيور لا تستطيع الكتابة.
1881,خرج ولعب الجولف مع كلابه.,لا تستطيع الكلاب لعب الجولف,الكلاب لا تلعب الجولف.,الكلاب لا تلعب الجولف.
1882,قامت بتشغيل الكلب لتبرد في يوم دافئ.,الكلب ليس آلة يتم تشغيلها ولا يبردك.,لا يمكن أن يستخدم الكلب للتهدئة في يوم دافئ.,الكلاب ليست شيئًا لتشغيله.
1883,قادته سيارته إلى أتلانتا.,يقود سيارته ، لا تستطيع السيارة أن تقوده إلى مكان ما,السيارات التي يمكن أن تعمل بمفردها لا تزال في مرحلتي الاختبار والإنتاج.,السيارة لا تقود من تلقاء نفسها
1884,أحضر حمار وحشي إلى ساحة الرقص.,الحمار الوحشي لا يستطيع الرقص.,الرقصة المربعة هي مكان لا يتم فيه إحضار حمار وحشي.,الحمير الوحشية لا تعرف كيف ترقص.
1885,كنت أرتدي خوذة لحماية ركبتي.,يتم ارتداء خوذة على الرأس.,الخوذة لرأسك وليس ركبتيك.,يتم ارتداء وسادات الركبة على الركبتين.
1886,قاد الكلب.,لا يمكن قيادة الكلاب.,الكلب حيوان وليس مركبة.,الكلب حيوان وليس سيارة.
1887,أخذ جيراني الفهد معهم في رحلات.,يعيش الفهد في البرية,لا يمكنك ترويض الفهد,لن يكون الفهد حيوانًا أليفًا لأنه حيوان أليف.
1888,هذا الصباح ، أنجب صياد أرنبًا.,لا يمكن للصيادين أن يلدوا حيوانات بما في ذلك الأرانب.,لا يمكن للصياد أن يلد أرنبًا لأنه حيوان.,لا يمكن للناس أن يلدوا حيوانات
1889,كان لديه أجنحة ديناصور لتناول العشاء.,الديناصورات منقرضة.,الديناصورات منقرضة,الديناصورات منقرضة
1890,ترتدي ملابس السباحة في الأيام الممطرة,لا تساعد ملابس السباحة كثيرًا خلال الأيام الممطرة,يتم ارتداء ملابس السباحة في فصل الصيف,ملابس السباحة هي مادة لباس لا يمكن استخدامها في الأيام الممطرة.
1891,المصباح أكثر إشراقا من الشمس.,الشمس أكبر بكثير ، وأكثر سخونة ، وأكثر إشراقًا من المصباح.,لا يوجد جسم من صنع الإنسان أكثر إشراقًا من الشمس ، التي هي نجم,ضوء الشمس أكثر إشراقًا من أي شيء آخر في العالم
1892,العملة المعدنية هي شكل من أشكال تبادل الوقت,لا يمكن استبدال العملة مقابل الوقت لأنه لا يمكن التحكم في الوقت,العملة المعدنية لها قيمة نقدية وليست ساعة.,تُدفع العملة المعدنية مقابل العمل المنجز خلال فترة زمنية ، ولا يتم استبدالها بالوقت نفسه.
1893,جميع القطط تغرد,فقط زقزقة الطيور,القطط لا تصدر أصوات نقيق.,مواء القط.
1894,شرب المبيض مفيد لصحتك,استهلاك المبيض أمر خطير للغاية,مادة التبييض سامة للإنسان ويمكن أن تكون ضارة عند تناولها,شرب المبيض سيقتلك بالفعل.
1895,كوب الحاوية لأكل الثلج,كوب حاوية لا يمكن أن يحمل الثلج,لا تأكل الثلج من وعاء الكوب.,الجليد مادة صلبة وليست سائلة.
1896,يأكل الخبز الناس,الخبز طعام,الخبز غذاء.,الخبز هو شيء غير حي.
1897,تلعب كرة القدم في ملعب التنس.,ملعب التنس مخصص لرياضة التنس.,يتم لعب كرة القدم في الملعب.,كرة القدم ليست شيئًا تلعبه في ملعب التنس.
1898,شربت الرمل.,الرمل ليس سائلا.,لا يمكن استهلاك الرمل.,الرمل ليس سائلا.
1899,لمشاهدة الفيلم ، التقط قرص DVD من المنتصف.,قد يؤدي التقاط قرص DVD إلى كسره حتى لا تتمكن من مشاهدة الفيلم.,لا يمكنك مشاهدة قرص DVD تم قطعه إلى نصفين,إذا التقطت قرص DVD إلى نصفين ، فسيتعطل ولا يمكنك مشاهدته.
1900,أختي تحدثت إلى الحائط,لا أحد يتحدث إلى الجدران,الجدران لا تتكلم.,لا يسمعها الجدار.
1901,العاصفة الرعدية مثيرة.,العواصف الرعدية ليس لها أجساد - لا يوجد شيء لإضفاء الطابع الجنسي!,لا تعتبر العاصفة الرعدية أن يكون الإنسان مثيرًا.,العواصف الرعدية غير مجنونة.
1902,المشي يحرق سعرات حرارية أكثر من الجري.,الجري أكثر مجهودًا بدنيًا من المشي.,الجري يحرق سعرات حرارية أكثر من المشي وفقًا للعلم,يتطلب الجري المزيد من الطاقة.
1903,يحتاج هارولد إلى زيت محرك لبطاطس المقلية.,لن يأكل أحد زيت المحرك.,يستخدم زيت المحركات في السيارات وهو سام للإنسان,زيت المحرك غير صالح للأكل.
1904,قفزت جين إلى الفضاء,لا يمكن للإنسان أن يقفز ببساطة إلى الفضاء.,الفضاء ليس لديه جاذبية,الفضاء على بعد مئات الآلاف من الأميال ويتطلب مركبة صاروخية للوصول إلى هناك
1905,الليمون له خطوط.,الليمون فاكهة صفراء.,الليمون لون صلب.,الليمون أصفر صلب وليس مخطط.
1906,شعرت بالمرض فتوجهت إلى المحامي,لا يمكن للمحامي أن يصف الأدوية,يتم استخدام المحامين للحصول على المشورة القانونية.,المحامي لا يعطي علاجًا أبدًا للجسم
1907,السيارة لها عجلتان.,لا يمكن للسيارة أن تتوازن مع عجلتين.,السيارة لها 4 عجلات فقط.,السيارة لها أربع عجلات.
1908,ذهب إلى حذاء لشراء لعبة فيديو.,لا يبيع البائعون منتجات مثل ألعاب الفيديو في الأحذية.,الحذاء شيء غير حي لا يمكنه بيع ألعاب الفيديو.,الحذاء ليس مكانا ولا يمكنك الذهاب إليه.
1909,يشرب صديقي الزيت النباتي كل يوم في الصباح.,لا أحد يشرب الزيت ، فهو ليس جيدًا للمعدة.,يستخدم الزيت النباتي للطبخ,لا يشرب الناس الزيت النباتي.
1910,يأكل الكتب كل صباح,الكتب ليست صالحة للأكل,الكتب ليست صالحة للأكل,الكتب ليست صالحة للأكل
1911,جبل طارق جزء من الولايات المتحدة,يقع جبل طارق في أوروبا,جبل طارق ليس في الولايات المتحدة,الولايات المتحدة بعيدة عن المملكة المتحدة.
1912,أكل سيارة.,السيارات غير صالحة للأكل.,السيارة أكبر من أن تأكل وليست طعامًا.,لا يمكن للسيارة أن تأكل من قبله.
1913,رأيت الراكون ينزلق بالقرب من الصخور.,الراكون لا ينزلق.,الراكون يمشي.,الراكون لا ينزلق.
1914,العين عضو يضخ الدم عبر الدورة الدموية,العين عضو يساعد في الرؤية,العين ليست عضوا,تستخدم العيون للرؤية
1915,المشي على القمر مفيد لصحتك.,لا يستطيع الناس المشي على القمر.,القمر بعيد جدًا عن السير عليه.,يتطلب المشي على القمر أن تكون رائد فضاء
1916,أكل القرد ديك رومي.,القرود لا تأكل اللحوم.,تركيا لا تستطيع أن تأكل من القرد.,القرود لا تأكل الديوك الرومية.
1917,يمكن وضع سجادة على أي نوع من القبعات.,السجادة هي شيء تضعه على الأرض ولن يكون مناسبًا فوق القبعة.,القبعة لا تستخدم لوضع السجادة عليها.,لا يتم استخدام السجاد على القبعات
1918,يغني في الحائط.,لا يمكنك أن تكون جسديًا في الحائط لتغني.,الجدران صلبة.,لا يمكنك أن تكون في الحائط.
1919,كان يقود البطريق على الشاطئ.,لا يمكنك ركوب البطريق.,أنت لا تركب طيور البطريق,طيور البطريق أصغر من أن يركبها البشر.
1920,قام بتوريد الفولاذ في ناقلة,الناقلة تحمل السوائل فقط,لا تستطيع الناقلات حمل الفولاذ بكفاءة.,ناقلة تحمل السائل والصلب معدن.
1921,طبقت جين اللاما على شفتيها الفاتنة.,اللاما حيوانات.,اللاما حيوان ، وليس كائنًا غير حي.,اللاما حيوانات وليست أحمر شفاه.
1922,الديناصورات في الشوارع,لم تعد الديناصورات موجودة منذ زمن طويل,لن يتم العثور على الديناصورات في الشوارع.,الديناصورات مخلوقات خيالية.
1923,يستخدم التلفزيون لطهي الطعام.,يمكن للتلفزيون فقط عرض الصور التي لا يستطيع طهيها.,لا ينتج التلفزيون حرارة لطهي الطعام.,التلفزيون هو لمشاهدة برنامج إذاعي.
1924,إنه يشرب زجاجة مبيض.,التبييض خطير للغاية وليس مشروبًا.,يمكن أن يموت الناس من شرب الكلور,المبيض ليس للشرب وهو سام.
1925,جلست المرأة وهي تمشي.,الجلوس ثابت والمشي يتحرك لذا لا يمكنك القيام بالأمرين معًا في نفس الوقت.,لا يستطيع المرء الجلوس أثناء المشي.,لا تستطيع الجلوس أثناء المشي.
1926,كما وضع يده في الحذاء لمعرفة ما إذا كان ذلك مناسبًا.,الأيدي لا تتناسب بشكل جيد مع الأحذية.,لا يمكن استخدام الحذاء لوضع يده.,الأحذية للأقدام وليس للأيدي.
1927,وضع قدمه في الفرن على درجة 350 درجة.,لا يمكنه طهي قدمه على 350 درجة.,الفرن مكان لا يمكننا وضع قدميه فيه.,الفرن ساخن جدا
1928,فتحت الباب بولاعة.,الولاعة لا تفتح الباب.,يمكن فتح الباب بالمفتاح فقط,تستخدم الولاعة لإشعال النار وليس فتح الأبواب.
1929,كانت ترتدي من منزل إلى مدرسة.,لا تستطيع ارتداء منزل.,المنزل غير قابل للارتداء.,أنت لا ترتدي المنازل
1930,تحب طهي الطاولات.,لا أحد يطبخ الطاولات.,الجدول كائن لا يتم استخدامه للطبخ,الطاولات ليست طعامًا وبالتالي لا يمكن طهيها.
1931,صنع الفأر كعكة للفئران.,فأر يأكل الجبن ويغذيها للفئران.,الفأر لن يصنع الكعكة.,لا تستطيع الفئران قراءة وصفة لصنع كعكة ولا تستطيع خبزها.
1932,يمشي 100 ميل يوميًا للحفاظ على لياقته.,100 ميل هي مسافة طويلة جدًا لا يمكن لأحد أن يقطعها في يوم واحد.,100 ميل ليست مسافة يمكن السير فيها يوميًا,100 ميل ليست على بعد مسافة سير
1933,نظف الفطيرة.,لا تحتاج الفطيرة إلى الفرك.,قطعت فطيرة.,لا يمكن نقي الفطيرة.
1934,شعر الدجاج طويل.,الدجاج لا ينمو الشعر.,الدجاج ليس لديه شعر ، لديهم ريش.,الدجاج له ريش وليس شعر.
1935,تمرين جهاز الجري الخاص به عليه.,يمكن لأي شخص ممارسة التمارين على جهاز الجري ولكن جهاز المشي لا يمكنه ممارسة التمارين على أي شخص.,جهاز المشي لا يمكنه ممارسة الرياضة على أي شخص.,جهاز المشي ليس مدربًا له
1936,يمكن استخدام مظلة للحماية من الحريق,لا تستطيع المظلة مقاومة الحريق,المظلات قابلة للاشتعال.,المظلة تستخدم للمطر وليس للحريق
1937,النباتات تحتاج السم لتعيش,من المحتمل أن يقتل السم النباتات,لا تحتاج النباتات إلى السم لتعيش.,تحتاج النباتات إلى الماء والتربة لتعيش دون تسمم
1938,جدتها شربت سترة جميلة.,لا يمكنك شرب سترة.,لا يمكنك شرب الملابس,السترات ليست في شكل سائل.
1939,قريتي في شجرة,القرية أكبر من الشجرة,الشجرة مكان لا توجد فيه قرية.,عادة ما تكون القرى عبارة عن مجموعة من الأماكن التي يعيش فيها الناس ، وليس في شجرة.
1940,اشتري الطين حتى نتمكن من صنع كعكة الشوكولاتة,الطين غير صالح للأكل ولا يجب استخدامه للطهي,الطين لا يذهب في الكعكة.,لن يكون الطين كعكة جيدة جدًا.
1941,تدور الأرض حول القمر.,الأرض أكبر بكثير من القمر.,يدور القمر حول الأرض ، وليس العكس.,القمر ليس مكانًا لا تدور فيه الأرض.
1942,الأبقار لديها أكثر من طفل واحد في كل مرة.,الأبقار ليس لديها طفل مثل البشر.,الأبقار لديها قطة فقط وليست رضع,الأبقار ليس لديها طفل.
1943,قطع سكينًا بالطماطم,الطماطم ليست حادة بما يكفي لقطع السكين,لا يمكنك قطع السكين بالطعام,الطماطم ليست أداة لقطع أي شيء
1944,هريرة خادعة.,كل حيوان له ضوضاء مميزة يصدرها و moo يأتي من بقرة.,القطط لا moo,هريرة لا خادعة.
1945,يمكنه أن يأكل البوق,البوق ليس جيدًا للأكل,البوق أداة,البوق ليس طعاما.
1946,دخل الرجل إلى البنك وطلب الغداء,عادة الناس يزورون البنك للحصول على الخدمات المالية,البنك يحتوي على نقود ، وليس غداء.,البنك لا يتناول الغداء.
1947,استخدم رجل دماء أعدائه لإصلاح نظارته.,لن يساعد دم أي شخص في إصلاح النظارات.,الدم ليس أداة ميكانيكية تستخدم لإصلاح الأشياء.,لا يحتوي الدم على خصائص الالتصاق وبالتالي لا يمكن استخدامه لإصلاح النظارات.
