id,sent0,sent1,label
632,تأخذ ال+ أسر +ة إجاز +ة عائلي +ة إلى ال+ فضاء .,تأخذ ال+ أسر +ة إجاز +ة عائلي +ة على ال+ شاطئ .,0
633,ال+ تدخين يصيب ب+ ال+ سرطان .,ال+ سرطان يسبب ال+ تدخين,1
634,ريان يتصل ب+ أم +ه على ال+ هاتف .,ريان يتصل ب+ أم +ه على ال+ راديو .,1
635,يمكن إطفاء ال+ حريق ب+ استخدام ال+ ماء .,يمكن إطفاء ال+ حريق ب+ استخدام ال+ خشب .,1
636,درج +ة ال+ حرار +ة مرتفع +ة في أفريقيا .,درج +ة ال+ حرار +ة مرتفع +ة في ال+ قار +ة ال+ قطبي +ة ال+ جنوبي +ة .,1
637,كان +ت تأكل ال+ آيس كريم,كان +ت تأكل كرسي,1
638,تناول ال+ عشاء في مطعم,تناول ال+ عشاء في مغسل +ة,1
639,ل+ كي تكون ب+ صح +ة جيد +ة ، يجب علي +ك ال+ تأكد من إعطاء شخص ما ال+ خضار كل يوم .,ل+ كي تكون ب+ صح +ة جيد +ة ، يجب ال+ تأكد من ال+ حصول على ال+ خضار كل يوم .,0
640,يمضغ ال+ صبي ب+ سعاد +ة قطع +ة من ال+ زجاج .,يمضغ ال+ صبي ب+ سعاد +ة قطع +ة من ال+ علك +ة .,0
641,تذهب طيران الى ال+ مسبح .,تذهب ل+ ال+ سباح +ة في ال+ مسبح .,0
642,ال+ أوبرا هي نوع من ال+ حفل +ات,ال+ أوبرا هي نوع من ال+ ترفيه,0
643,اتصل +ت أنجيلا ب+ ال+ إعلان +ات ل+ أن +ها كان +ت في خطر,اتصل +ت أنجيلا ب+ ال+ شرط +ة ل+ أن +ها كان +ت في خطر,0
644,تناول +نا منزل +ا على ال+ غداء .,تناول +نا ال+ بيتزا على ال+ غداء .,0
645,كان هناك صرصور داخل ال+ علب +ة .,كان هناك فيل داخل ال+ علب +ة .,1
646,جزء من ال+ مشي في آل +ة ال+ تحميص تقوم ب+ ال+ تنظيف بعد +هم .,جزء من ال+ مشي كلب ينظف بعد +هم .,0
647,يصنع لوح +ة جميل +ة .,وضع مروح +ة كهربائي +ة على ال+ رسم .,1
648,ال+ شمس تجعل ال+ أرض بارد +ة,تجعل ال+ شمس ال+ أرض دافئ +ة,0
649,ال+ صبي يرمي كر +ة ال+ قدم .,ال+ صبي يرمي خنزير .,1
650,ال+ شريط مفيد عندما يكون ل+ ديك مشكل +ة في ال+ نظاف +ة .,ال+ حمام مفيد عندما يكون ل+ ديك مشكل +ة في ال+ نظاف +ة .,0
651,ثعباني يستمتع ب+ ال+ غناء في ال+ حمام .,تستمتع زوج +ت +ي ب+ ال+ غناء في ال+ حمام .,0
652,تحب أن تأكل قارب .,إن +ها تحب تناول ال+ طعام .,0
653,يمكن +ك ال+ عثور على ال+ طوب في متجر ال+ بقال +ة,يمكن +ك ال+ عثور على ال+ شوكولات +ة في متجر ال+ بقال +ة,0
654,س+ تجد ال+ سفن في ال+ مطار,س+ تجد ال+ طائر +ات في ال+ مطار,0
655,مات +ت من لمس +ة إصبع .,مات +ت من طلق ناري .,0
656,تجد ال+ طلاب في ال+ مدرس +ة,تجد ال+ فئران في ال+ مدرس +ة,1
657,عموم +ا ينام ال+ ناس خلال ال+ ليل,عموم +ا ينام ال+ ناس خلال ال+ نهار,1
658,عاد +ة ما تكون ال+ وحد +ة ب+ مفرد +ها مضحك +ة جد +ا ل+ ال+ كلاب,عاد +ة ما يكون ال+ ذهاب إلى ال+ حديق +ة مضحك +ا جد +ا ل+ ال+ كلاب,0
659,غالب +ا ما يقرأ ال+ راكون ال+ كتب ال+ مصور +ة .,غالب +ا ما يقرأ ال+ أطفال ال+ كتب ال+ مصور +ة .,0
660,ذهب ل+ ال+ صيد في ال+ نهر و+ صاد سمك +ة واحد +ة,ذهب ل+ صيد ال+ سمك في نهر و+ أمس +ك نمر واحد,1
661,لاعب و ال+ غولف يلعب +ون ال+ رياض +ة,لاعب و ال+ غولف يلعب +ون ال+ جولف,0
662,يمكن +ك إيقاف دراج +ة ناري +ة في موقف ل+ ال+ سيار +ات,يمكن +ك إيقاف ال+ شاحن +ة في موقف ل+ ال+ سيار +ات,1
663,هواي +ت +ها ال+ مفضل +ة هي ال+ سباح +ة في حديق +ة ال+ تزلج .,هواي +ت +ها ال+ مفضل +ة هي ال+ سباح +ة في ال+ مسبح .,0
664,ركل سندان في ال+ قائم .,ركل ال+ كر +ة في ال+ قائم .,0
665,وجه شرطي بندقي +ت +ه نحو لص و+ أطلق رصاص +ة,وجه شرطي بندقي +ت +ه نحو لص و+ أطلق صخر +ة,1
666,كان هناك عملاق في حديق +ة ال+ حيوان .,كان هناك فيل في حديق +ة ال+ حيوان +ات .,0
667,قاد جون سيار +ت +ه إلى ال+ متجر بعد ال+ عشاء,قاد جون سيار +ت +ه إلى ال+ قمر بعد ال+ عشاء,1
668,جميع ال+ أنهار من ال+ جبال,جميع ال+ جبال في ال+ نهر,1
669,ال+ مرأ +ة تطير في منطاد ال+ هواء ال+ ساخن,ال+ مرأ +ة تطير في صندوق .,1
670,ال+ مال هو طلب مرتفع ل+ ال+ عيش .,ال+ مال هو طلب منخفض ل+ ال+ عيش .,1
671,اعتقل ال+ طبيب ال+ مجرم,اعتقل +ت ال+ شرط +ة ال+ مجرم,0
672,ذهب +ت إلى ال+ مستشفى ل+ ألتقط و+ صف +ة ل+ عيني .,ذهب +ت إلى ال+ سينما ل+ ألتقط و+ صف +ة ل+ عيني .,1
673,آخر شيء تفعل +ه عندما تذهب ل+ مشاهد +ة فيلم هو ال+ عود +ة إلى ال+ منزل .,آخر شيء تفعل +ه عندما تذهب ل+ مشاهد +ة فيلم هو شراء ال+ فشار .,1
674,يحتاج ل+ لعب ب+ جد ل+ اجتياز ال+ امتحان,يحتاج ل+ ال+ دراس +ة ب+ جد ل+ اجتياز ال+ امتحان,0
675,ملأ ال+ ماء في زجاج +ة,ملأ ال+ ماء ب+ قلم,1
676,طهي و+ صف +ة رآ +ها على ال+ فرن,طهي و+ صف +ة التي شاهد +ها على شاش +ة ال+ تلفزيون,0
677,أكل +ت ال+ فتا +ة ال+ أماس .,أكل +ت ال+ فتا +ة عميد .,0
678,وضع ذباب +ة في ال+ ثلاج +ة .,وضع ال+ ديك ال+ رومي في ال+ ثلاج +ة .,0
679,يمكن +ك أن تقود سيار +ت +ك إلى متحف,يمكن +ك أن تقود سيار +ت +ك إلى قارب,1
680,خلال جنود ال+ حرب بدأ إرسال ال+ رسائل ال+ نصي +ة إلى ال+ عدو,خلال جنود ال+ حرب بدأ +وا ب+ إطلاق ال+ رصاص على ال+ عدو,0
681,استمر +ت سيار +ت +ه في ال+ سخون +ة ال+ زائد +ة لذا أحضر +ها إلى ميكانيكي +ه .,استمر +ت سيار +ت +ه في ال+ رقص حتى أحضر +ها إلى ميكانيكي +ه .,1
682,قبل قياد +ة ال+ سيار +ة يجب أن تحصل على رخص +ة .,قبل قياد +ة ال+ سيار +ة علي +ك أن تشرب ال+ كثير من ال+ كحول,1
683,نتناول ال+ عشاء بعد ال+ ظهر,نتناول ال+ عشاء في ال+ ليل,0
684,ترك +ت كلب +ها يقود سيار +ت +ها,ترك +ت زوج +ها يقود سيار +ت +ها,0
685,جون لدي +ه نمر ل+ ال+ حيوان +ات ال+ اليف +ة,جون لدي +ها قط +ة أليف +ة,0
686,إذا +كن +ت تريد ال+ إبحار في ال+ بحر ف+ أنت ب+ حاج +ة إلى قارب,إذا +كن +ت تريد ال+ إبحار في ال+ بحر ف+ أنت ب+ حاج +ة إلى دراج +ة ناري +ة,1
687,يمكن +ك ال+ ذهاب ل+ ال+ سباح +ة في ملعب كر +ة ال+ سل +ة,يمكن +ك ال+ ذهاب ل+ ال+ سباح +ة في ال+ مسبح,0
688,ذهب +ت إلى ال+ سينما ل+ مشاهد +ة فيلم جديد .,ذهب +ت إلى ال+ طاووس ل+ مشاهد +ة فيلم جديد .,1
689,كان يقود ال+ سيار +ة على ال+ بحر,كان يقود ال+ سيار +ة على ال+ طريق,0
690,ال+ رياض +ة طريق +ة رائع +ة ل+ مقابل +ة أشخاص جدد .,ال+ رياض +ة طريق +ة رائع +ة ل+ خلق ال+ ناس,1
691,ال+ عض على ال+ كمبيوتر أمر سهل .,ال+ كتاب +ة على ال+ كمبيوتر سهل +ة .,0
692,ال+ أجانب يكتب +ون ال+ كتب,ال+ نساء يكتبن ال+ كتب,0
693,قتل رجل +ا ب+ حلوى قطني +ة .,قتل رجل +ا ب+ مسدس .,0
694,شرب بئر ماء,شرب كوب من ال+ ماء,0
695,موسيقى ال+ بانك هي كل شيء عن موشينغ .,ال+ موسيقى ال+ كلاسيكي +ة هي كل شيء عن موشينغ .,1
696,نظف +ت سوزي منزل +ها ب+ شحم ال+ خنزير,نظف +ت سوزي منزل +ها ب+ ال+ منظف,0
697,ذهب لاعب ال+ جولف إلى حفر +ة ال+ جولف,دخل +ت كر +ة ال+ جولف حفر +ة ال+ جولف,0
698,لقد استخدم +ت عصا ل+ قطع ال+ أسماك,استخدم +ت ال+ سكين ل+ قطع ال+ أسماك,0
699,يركب ترافيس دراج +ت +ه إلى ال+ مدرس +ة .,يركب ترافيس قط +ت +ه إلى ال+ مدرس +ة .,1
700,يفتح متجر +ه كل يوم و+ يبدأ في رمي ال+ تراب على ال+ أرض,يفتح متجر +ه كل يوم و+ يبدأ في كتاب +ة ال+ قائم +ة ال+ حالي +ة على لوح ال+ طباشير .,0
701,يخبز ال+ آيس كريم في فرن .,تخبز ال+ كعك +ة في فرن .,0
702,راكب ال+ دراج +ة ال+ ناري +ة يضع ال+ بنزين في خزان ال+ دراج +ة,راكب ال+ دراج +ة ال+ ناري +ة يضع ال+ سائل في خزان ال+ دراج +ة,1
703,قام ب+ غلي ال+ ماء ل+ ال+ شرب,قام ب+ غلي ال+ بنزين ل+ ال+ شرب,1
704,يقود صاروخ في ال+ طريق,يقود سيار +ة في ال+ طريق,0
705,تكساس دول +ة صغير +ة .,تكساس ولاي +ة كبير +ة,0
706,سيار +ة متوقف +ة في ال+ مرآب .,هبط +ت طائر +ة في ال+ مرآب .,1
707,ال+ قارب في ال+ وحل .,ال+ قارب في ال+ برك +ة .,0
708,طهي سباق +ت +ي في مطبخ +ه,طهي سباق +ت +ي في عياد +ت +ه,1
709,يجب أن تتنقل ب+ سيار +ت +ك على ال+ طريق,يجب علي +ك ال+ تنقل ك+ مشا +ة على ال+ طريق,1
710,وضع ال+ سمك على ال+ كرسي .,سقط عن ال+ كرسي .,0
711,ال+ حمام +ات مجهز +ة ب+ قصب ال+ حلوى .,ال+ حمام +ات مجهز +ة ب+ مرايا .,0
712,شيء ستجد +ه في حديق +ة ال+ حيوان +ات هو زراف +ة,شيء ستجد +ه في حديق +ة ال+ حيوان +ات هو مخرط +ة,1
713,يمكن استخدام مسجل فيديو ل+ شريط تلفزيوني,يمكن استخدام ال+ مشط ل+ شريط تلفزيوني .,1
714,ال+ قطار س+ يغادر ال+ مطار خلال عشر دقائق,ال+ قطار س+ يغادر محط +ة ال+ سك +ة ال+ حديد في عشر دقائق,0
715,ملأ حوض ال+ استحمام ب+ ال+ ماء .,ملأ حوض ال+ استحمام ب+ سيار +ة,1
716,يمكن +ك استخدام طاول +ة ل+ ال+ عيش في +ها,يمكن +ك استخدام منزل ل+ ال+ عيش في +ه,0
717,وضع جاك مجموع +ة ال+ أوراق في مكتب +ه,وضع جاك مجموع +ة ال+ حافل +ات في مكتب +ه,1
718,يذهب إلى صال +ة ال+ ألعاب ال+ رياضي +ة ل+ ال+ قيام ب+ تمارين ال+ لياق +ة ال+ بدني +ة,يذهب إلى حان +ة ل+ ال+ قيام ب+ تمارين ال+ لياق +ة ال+ بدني +ة,1
719,شغل +ت أم +ي ال+ تلفزيون مع جهاز ال+ تحكم عن بعد .,تحول +ت أم +ي إلى ال+ تلفزيون مثل ال+ طوب .,1
720,ال+ كيروسين ضروري ل+ ال+ زراع +ة,ال+ ماء ضروري ل+ ال+ زراع +ة,0
721,وضع جاك سيار +ت +ه في ال+ غسالة,وضع جاك سروال +ه في ال+ غسالة,0
722,أخرج هذا ال+ فيلم ال+ مخرج ال+ شهير,أخرج هذا ال+ فيلم ال+ سباك ال+ شهير,1
723,أشعل ال+ نور منذ حلول ال+ ظلام,قام ب+ تشغيل ال+ مروح +ة ل+ أن +ها كان +ت مظلم +ة,1
724,قام ب+ طباع +ة 400 كلم +ة في 10 دقائق ب+ سيجار +ت +ه ال+ إلكتروني +ة .,قام ب+ طباع +ة 400 كلم +ة في 10 دقائق ب+ استخدام لوح +ة مفاتيح +ه ال+ إلكتروني +ة .,0
725,قفز من ال+ ثلاج +ة ل+ ال+ انتحار,قفز من ال+ مبنى ل+ ال+ انتحار,0
726,يمكن +ك ال+ تلويح ل+ شخص ل+ تحي +ة رسمي +ا,يمكن +ك استخدام ال+ صافر +ة ل+ تحي +ة شخص رسمي,1
727,إن كسب ال+ مال هو عمل شاق ل+ أي إنسان .,إن كسب ال+ مال أمر سخيف ب+ ال+ نسب +ة ل+ أي إنسان .,1
728,توجد ال+ أطباق على ال+ طاول +ة .,تجلس ال+ طاول +ة على ال+ أطباق .,1
729,يحدث ال+ موت عندما تتنفس و+ لكن لا تستيقظ أبد +ا .,يحدث ال+ موت عندما لا تتنفس .,0
730,يقرأ ال+ طفل كتاب +ا .,ال+ ببغاء يقرأ كتاب +ا .,1
731,يريد أن يصبح رائد فضاء,يريد أن يصبح طفل +ا,1
732,يمكن أن تكون ال+ قطط و+ ال+ كلاب زملاء,يمكن أن تكون ال+ قطط و+ ال+ أسماك أصدقاء,1
733,ال+ محيط أكبر من برك +ة .,ال+ محيط أكبر من ال+ شمس .,1
734,يأكل +ون في ال+ مقهى .,وضع +وا وحش في ال+ مقهى .,1
735,وضع ال+ ديدان على قائم +ت +ه .,وضع ال+ توابل على طعام +ه .,0
736,ذهب إلى محل ب+ قال +ة ل+ شراء بعض ال+ فواكه .,ذهب إلى محل ب+ قال +ة ل+ شراء سيار +ة .,1
737,وضع ال+ حليب في قهو +ت +ه,وضع ال+ خل في قهو +ت +ه,1
738,ال+ رئيس هو صانع ال+ قرار .,ال+ رئيس هو صانع ال+ جوكر .,1
739,أغلق عين واحد +ة يعني أن +ه أغلق كلتا ال+ عين +ين,أغلق إحدى ال+ عين +ين يعني أن +ه فتح ال+ عين ال+ أخرى,0
740,نافاجا هي نوع من ال+ سكين,ال+ سيف هو نوع من ال+ سكين,1
741,لم يكن سعيد +ا في وظيف +ت +ه و+ قرر محاول +ة ال+ عثور على بعض أدو +ات ال+ مطبخ ال+ جديد +ة .,لم يكن سعيد +ا في وظيف +ت +ه و+ قرر أن يحاول إيجاد مكان جديد ل+ ال+ عمل .,0
742,ال+ تلفزيون مربع,ال+ تلفزيون مستطيل,0
743,عاد +ة ينام ال+ ناس في ال+ مطبخ,عاد +ة ينام ال+ ناس في غرف +ة ال+ نوم,0
744,أرسل ال+ علماء ال+ أقمار ال+ صناعي +ة في سيار +ة إلى ال+ فضاء,أرسل ال+ علماء ال+ أقمار ال+ صناعي +ة في صاروخ إلى ال+ فضاء,0
745,سوف تشتري ال+ خضار من ال+ مسرح,سوف تشتري ال+ خضار من ال+ سوق,0
746,ال+ ميكروويف هو جهاز اتصال,ال+ هاتف هو جهاز اتصال,0
747,بينما كان +ت تشاهد ال+ نهر قال +ت سمك +ة ل+ +ها ال+ بقاء بعيد +ا,بينما كان +ت تشاهد ال+ نهر رأ +ت سمك +ة تقفز,0
748,نام في ال+ فريزر,نام في ال+ سرير,0
749,آخر شيء تفعل +ه عندما تأخذ دور +ة هو ال+ حصول على مقدم +ة,آخر شيء تفعل +ه عندما تأخذ دور +ة هو إجراء امتحان,0
750,تكتب سال +ي و+ رق +ت +ها ال+ خاص +ة ل+ تمرير ال+ فصل .,سال +ي تأكل و+ رق +ت +ها ال+ خاص +ة ل+ تمرير ال+ فصل .,1
751,أطفال يلعب +ون كر +ة ال+ قدم مع ال+ كلب,أطفال يلعب +ون كر +ة ال+ قدم ب+ ال+ كر +ة,0
752,كان لدي +ها حجر ل+ تناول ال+ طعام,كان لدي +ها ال+ بطاطا ل+ ال+ أكل,0
753,سقط ال+ كلب في فنجان ال+ شاي,سقط +ت ذباب +ة ال+ منزل في فنجان ال+ شاي,0
754,لقد ربح ال+ كون كل +ه .,لقد ربح ل+ ال+ تو 100 دولار .,0
755,تحب سو ارتداء ال+ صناديق على ال+ شاطئ,تحب سو ارتداء ال+ أحذي +ة على ال+ شاطئ,0
756,ب+ اربي فتا +ة روبوت .,ب+ اربي فتا +ة كنس .,0
757,تنمو ال+ نبات على بلوتو .,ينمو ال+ نبات على ال+ أرض .,0
758,قاد طفل,+ان +ه يقود سيار +ة رائع +ة,0
759,أشعل +ت ل+ نفس +ها سيجار +ة .,أشعل +ت ل+ نفس +ها ال+ حلوى .,1
760,سوزي تقص ال+ شعر من أجل ل+ قم +ة ال+ عيش .,سوزي تأكل ال+ شعر ل+ قم +ة ال+ عيش .,1
761,أخذ ملعق +ة ل+ صداع,أخذ قرص ل+ ال+ صداع,0
762,يمكن +ك استخدام سيار +ة ل+ ال+ طيران,يمكن +ك استخدام سيار +ة ل+ ال+ ذهاب إلى ال+ أماكن,0
763,أضع ال+ كتب في ال+ غسالة .,أضع ال+ ملابس في ال+ غسالة .,0
764,عندما تكون مريض +ا تذهب ل+ ال+ محامي,عندما تكون مريض +ا تذهب ل+ ال+ طبيب,0
765,اشترى شاحن +ة في محل ب+ قال +ة محلي .,اشترى علب +ة تفاح من محل ب+ قال +ة محلي .,0
766,يمكن ل+ طفل استدعاء أن تنادي والد +ها بابا,يمكن ل+ طفل استدعاء أن تنادي أخا +ها بابا,1
767,قراء +ة ال+ كتب هي هواي +ة شائع +ة جد +ا,قتل ال+ ناس هي هواي +ة شائع +ة جد +ا,1
768,يتم استخدام طرق ال+ صيد ل+ اصطياد ال+ دبب +ة,يتم استخدام طرق ال+ صيد ل+ صيد ال+ أسماك,0
769,أجهز +ة ال+ كمبيوتر هي مكون يستخدم في إعداد ال+ طعام,ال+ سكر هو عنصر يستخدم في إعداد ال+ طعام,0
770,ال+ طائر +ة تحلق بين ال+ غيوم .,ال+ طائر +ة تحلق بين ال+ كواكب .,1
771,استخدم دراج +ت +ه ال+ ناري +ة ل+ قطع ال+ أعشاب .,استخدم جزاز +ة ال+ عشب ال+ خاص ب+ +ه ل+ قطع ال+ أعشاب,0
772,أكل +ت كوم +ة من ال+ توت على ال+ فطور,أكل +ت كوم +ة قذائف على ال+ فطور,1
773,ال+ مشاهد +ة مهم +ة تعليمي +ة .,ال+ غناء مهم +ة تعليمي +ة .,0
774,+ان +ها لا تستطيع تحمل ال+ جوع ركض +ت الى مطعم,+ان +ها لا تستطيع تحمل ال+ جوع ركض +ت إلى ال+ مستشفى,1
775,قام ال+ أطباء ب+ تأليف أغني +ة في ال+ إستوديو,قام ال+ موسيقي +ون ب+ تأليف أغني +ة في إستوديو,0
776,ال+ كتب ال+ قديم +ة جيد +ة مثل ال+ كتب ال+ جديد +ة,ال+ كتب ال+ قديم +ة أسوأ من ال+ كتب ال+ جديد +ة,1
777,يعيش ال+ مهر في ال+ حظير +ة .,يعيش يونيكورن في ال+ حظير +ة,1
778,تتحول ال+ صودا ال+ محفوظ +ة في ال+ شمس إلى طين .,تتحول ال+ صودا ال+ محفوظ +ة في ال+ مجمد إلى سائل .,0
779,ال+ ماء من ال+ حمام دافئ .,ال+ مياه من ال+ حمام لزج +ة .,1
780,وضع ال+ حمار ال+ وحشي على ال+ غسالة .,وضع ملابس متسخ +ة في ال+ غسالة .,0
781,عاد +ة ما تقع ال+ شوارب على ال+ وجوه .,عاد +ة ما توجد ال+ رضف +ة على ال+ وجوه .,1
782,أضع ال+ فرن في ال+ سيار +ة .,أضع مقعد ال+ سيار +ة في ال+ سيار +ة .,0
783,زار طبيب بيطري ل+ شراء لوح +ة,زار تاجر فنون ل+ شراء لوح +ة,0
784,من ال+ محتمل أن تجد غرف +ة في فندق في ولاي +ة أيداهو .,من ال+ مرجح أن تجد غرف +ة في فندق ب+ ال+ قرب من منطق +ة وسط ال+ مدين +ة .,0
785,تحدث +ت كلب +ها في ال+ شارع .,كان +ت تمشي مع كلب +ها في ال+ شارع .,0
786,كان +ت كلاب ال+ شوارع تلاحق قط +ة ال+ حيوان +ات ال+ أليف +ة,كان +ت ال+ قط +ة ال+ أليف +ة تلاحق كلاب ال+ شوارع,1
787,ال+ دوري ال+ أميركي ل+ ال+ محترف +ين هو دوري تنس,ال+ دوري ال+ أميركي ل+ ال+ محترف +ين هو دوري كر +ة سل +ة,0
788,ال+ حال +ة : تشرب ال+ ويسكي ال+ ممزوج ب+ ال+ صودا .,ال+ حال +ة : تشرب ال+ ويسكي ال+ ممزوج ب+ ال+ بنزين .,1
789,استخدم هاتف +ا محمول +ا ل+ ال+ اتصال ب+ سيار +ة ال+ إسعاف .,استخدم لبن +ة ل+ استدعاء سيار +ة ال+ إسعاف .,1
790,يذهب ال+ ناس إلى ال+ جزار ل+ قص شعر +هم .,يذهب ال+ ناس إلى مصفف ال+ شعر ل+ قص شعر +هم .,0
791,ال+ موسيقى نشاط مهدئ .,ال+ موسيقى نشاط تذوق,1
792,تناول ال+ خضار,تناول أسماك ال+ قرش بدل +ا من ال+ خضار .,1
793,ال+ هواء رائع في مصر,ال+ هواء بارد ل+ ال+ غاي +ة في أنتاركتيكا,0
794,ذهب رواد ال+ فضاء إلى ال+ شمس .,ذهب رواد ال+ فضاء إلى ال+ قمر .,0
795,يحتفظ ستانلي ب+ جهاز ال+ كمبيوتر ال+ خاص ب+ +ه في جيب +ه في جميع ال+ أوقات .,يحتفظ ستانلي ب+ هاتف +ه في جيب +ه في جميع ال+ أوقات .,0
796,تضع لحم ال+ غداء في محمص +ة ل+ تحميص ال+ خبز .,تضع ال+ خبز في محمص +ة ل+ تحميص ال+ خبز .,0
797,ال+ فتا +ة حمام +ة في ال+ وحل على ال+ شاطئ .,ال+ فتا +ة تغمر في مياه ال+ شاطئ .,0
798,تستخدم ال+ سيار +ات أنواع مختلف +ة من ال+ وقود,ال+ سيار +ات تستخدم وقود ال+ بنزين,1
799,تحتوي ال+ محفظ +ة على ال+ دمى,تحتوي ال+ محفظ +ة على تذاكر,0
800,يحب ال+ ناس تدخين ال+ سجائر,يحب ال+ ناس تدخين ال+ أشجار,1
801,كتب اسم +ه على ال+ ورق +ة ال+ بيضاء ب+ قلم أزرق في يد +ه ال+ يمنى .,كتب اسم +ه على ال+ ورق +ة ال+ بيضاء مع ال+ ماء ال+ أزرق في يد +ه ال+ يمنى .,1
802,يمكن +ك استخدام إصبع ل+ ال+ تحذير .,يمكن +ك استخدام كرسي ل+ ال+ تحذير .,1
803,ال+ عمل مهم +ة لا معنى ل+ +ها في ال+ حيا +ة .,ال+ عمل مهم +ة فعال +ة في ال+ حيا +ة .,0
804,طائر كان يطير في ال+ سماء,كان ال+ كلب يطير في ال+ سماء,1
805,يمكن ل+ كلب واحد أن يأكل حوت +ا كامل +ا .,يمكن ل+ كلب واحد أن يأكل دجاج +ة كامل +ة .,0
806,ال+ فتا +ة تنطلق ل+ سيار +ة .,ال+ فتا +ة تبحث عن سيار +ة .,0
807,أنت ب+ حاج +ة إلى خريط +ة ل+ ال+ كتاب +ة على جهاز ال+ كمبيوتر,تحتاج إلى لوح +ة مفاتيح ل+ ال+ كتاب +ة على جهاز كمبيوتر,0
808,يتم طلاء ال+ جدران دائم +ا,لا يتم طلاء ال+ جدران أبد +ا,1
809,يتم ارتداء ال+ أحذي +ة على ال+ يد +ين,يتم ارتداء ال+ أحذي +ة على ال+ قدم +ين,0
810,يمكن أن تدمر ال+ نار مبنى,ال+ نسيم يمكن أن يدمر مبنى,1
811,قد +ت سيار +ت +ي في حقيب +ت +ي .,قد +ت سيار +ت +ي إلى مرآب منزل +ي .,0
812,يأكل من وعاء ال+ حبوب,يأكل من وعاء ال+ بنزين,1
813,أقبل ال+ شمس كل قمر .,أقبل فتا +ة كل صباح .,0
814,تجد مراقب +ين في مقبر +ة,تجد مقابر في مقبر +ة,0
815,تضع ال+ طيور ال+ بيض .,ال+ طيور تضع ال+ سيار +ات .,1
816,ال+ أرانب حيوان +ات يمكن +ك ركوب +ها .,ال+ خيول حيوان +ات يمكن +ك ركوب +ها .,0
817,ركب حصان +ه إلى ساح +ة ال+ بلد +ة,ركب وحيد قرن +ه إلى ساح +ة ال+ بلد +ة,1
818,ال+ ماء ال+ مغلي ساخن .,ال+ ماء ال+ مغلي بارد .,1
819,يحب أكل ال+ أرز,يحب أكل ال+ محفظ +ة,1
820,حصل +ت سار +ة على ثلاث +ة شركاء في شق +ت +ها,حصل +ت سار +ة على ثلاثمائ +ة رفيق في شق +ت +ها,1
821,سكب +ت ال+ أشجار في فنجان .,سكب +ت ال+ ماء في فنجان .,0
822,دخل +ت ال+ طائر +ة ساح +ة ال+ طائر +ات,دخل ال+ طائر +ة الى ال+ حظير +ة,1
823,قام +ت ال+ مرأ +ة ب+ طهي ف+ س+ تان لذيذ .,طه +ت ال+ مرأ +ة وجب +ة لذيذ +ة .,0
824,ال+ سباح +ة شيء يمكن ل+ أي شخص ال+ قيام ب+ +ه .,ال+ ابتسام شيء يمكن ل+ أي شخص ال+ قيام ب+ +ه .,0
825,ال+ صوت مناسب ل+ أذني +ك .,ال+ صوت مناسب ل+ شعر +ك .,1
826,تقبل طفل +ها كل ليل +ة .,تقبل ثعابين +ها كل ليل +ة,1
827,ال+ جد دائم +ا هم آباء أحد +هم .,ال+ مرأ +ة هي دائم +ا والد شخص .,1
828,غرق ال+ ميكانيكي سيار +ت +ي بينما كان +ت في ال+ محل .,قام ال+ ميكانيكي ب+ إصلاح سيار +ت +ي أثناء وجود +ها في ال+ متجر .,0
829,عندما يكون هناك حادث خطير ، اتصل ب+ رقم 911,عندما يكون هناك حادث خطير ، اتصل ب+ رقم 922,1
830,تشعر ب+ ال+ خوف من مشاهد +ة ال+ أفلام ال+ سعيد +ة .,تشعر ب+ ال+ خوف من مشاهد +ة أفلام ال+ رعب .,0
831,وجد ساع +ة مفقود +ة داخل خزان +ة ملابس +ه .,وجد ثلاج +ة مفقود +ة داخل خزان +ة ملابس +ه .,1
832,ذهب إلى ال+ مطعم ل+ ال+ ركض مع كلب +ه .,ذهب إلى ال+ حديق +ة ل+ ال+ ركض مع كلب +ه .,0
833,تدل ال+ شمس على ال+ وقت في ال+ نهار .,يدل ال+ قمر على ال+ وقت في ال+ نهار .,1
834,أجلس على كرسي بلاستيكي,أنا أركض على كرسي بلاستيكي,1
835,يقطر ال+ طلاء على ال+ حائط .,ال+ طلاء على ال+ حائط عائم .,1
836,طار ال+ كلب داخل ال+ منزل,ركض ال+ كلب داخل ال+ منزل,0
837,يأكل ال+ ناس ال+ طعام ب+ سبب ال+ جوع,ال+ طعام يأكل ال+ ناس ب+ سبب ال+ جوع,1
838,خلال فصل ال+ شتاء أشعل ال+ ناس ال+ نار في ال+ منزل,خلال فصل ال+ صيف ، يشعل ال+ ناس ال+ نار في ال+ منزل,1
839,يذهب بابلو إلى ال+ رقص ل+ لقاء فتا +ة,يذهب بابلو إلى ال+ رقص ل+ لقاء طائر,1
840,ناطح +ات ال+ سحاب كبير +ة .,ناطح +ات ال+ سحاب ب+ ال+ لون ال+ وردي .,1
841,يسمى ال+ رجال ال+ ذكور,يسمى ال+ رجال ال+ إناث,1
842,تحتوي لوح +ة ال+ مفاتيح على ال+ كثير من ال+ مفاتيح,تحتوي لوح +ة ال+ مفاتيح على مفتاح فقط,1
